Test_Number,Testing_Item,Test,Range
tb_leakage_low,AA_5,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AA_6,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,AA_7,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AA_8,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AA_9,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,AA_10,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AA_11,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,AA_12,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AA_13,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AA_14,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,AA_15,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AB_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,AB_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AB_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,AB_3,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AB_4,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AB_5,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,AB_6,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AB_7,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AB_8,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,AB_9,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,AB_10,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,AB_11,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,AB_12,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,ACC_ENABLE,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,ACC_RESETN,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,ACC_SEL_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,ACC_SEL_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,ACC_SEL_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,ACC_SEL_3,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,ACC_SEL_4,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,ADA,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,BIST_CLK_SEL,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,BIST_SE,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,BIST_SI_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,BIST_SI_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,BIST_SI_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,BIST_SI_3,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,CENA,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,CENB,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,CLKA,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,CLKB,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,CLKSC,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,CRE1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,CRE2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,DA_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,DA_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,DA_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,DA_3,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,DB_0,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,DB_1,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,DB_2,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,DB_3,-------_leakage_low_2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
