Test,Testing_Item,Test_(Repeat),Range,Value
tb_leakage_low,DB_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,DB_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,DB_3,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,DFTRAMBYP,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,ECEN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAA_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EMAA_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAA_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAB_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EMAB_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.002_uA
tb_leakage_low,EMAB_2,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EMAP,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,EMASA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,EMAWA_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,EMAWA_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,EXT_CLK_SEL_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.001_uA
tb_leakage_low,EXT_CLK_SEL_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.000_uA
tb_leakage_low,FF_CLK,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.004_uA
tb_leakage_low,FF_EN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,GWENA,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,GWENB,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,KEN,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,LATECANCEL,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
tb_leakage_low,LRENA_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,LRENA_1,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.005_uA
tb_leakage_low,LRENB_0,leakage_low,2uA_range_vdd_1.050V_dvdd_1.800V_0.0ns,0.003_uA
